Method , P = 3, P = 6, P = 12, P = 18
"Cheby-Jac(2)+2crs,(7,5,3,1)", 1.05843, 0.593545, 0.4646675, 0.3337755
"Cheby-Jac(2),(7,5,3,1)", 0.9864700000000001, 0.4917005, 0.3766455, 0.3198735
"Cheby-ASM(2),(7,3,1)", 0.55598, 0.3164445, 0.200537, 0.19042150000000002
"Cheby-RAS(2),(7,3,1)", 0.53784, 0.3041805, 0.1913405, 0.173573
"Cheby-ASM(1),(7,3,1)", 0.57836, 0.326552, 0.23922900000000002, 0.17287049999999998
"Cheby-RAS(1),(7,3,1)", 0.630445, 0.32022649999999997, 0.196168, 0.16980250000000002
"Cheby-ASM(3),(7,3,1)", 0.5596, 0.322684, 0.207711, 0.1718715
"Cheby-RAS(3),(7,3,1)", 0.5276900000000001, 0.29959800000000003, 0.1894605, 0.1616835
"Cheby-ASM(2),(7,5,3,1)", --, 0.30824250000000003, 0.20022399999999999, 0.1970945
"Cheby-RAS(2),(7,5,3,1)", --, 0.28633749999999997, 0.184164, 0.155447
"SEMFEM", --, 0.3668365, 0.28226, 0.225525
"Cheby-ASM(2),(7,6)+SEMFEM", --, 0.33071249999999996, 0.240469, 0.20674700000000001
"Cheby-ASM(2),(7,5)+SEMFEM", --, 0.339514, 0.21522149999999998, 0.193582
"Cheby-ASM(2),(7,3)+SEMFEM", --, 0.3006105, 0.20931049999999998, 0.1923365
