Method , P = 24, P = 48, P = 72, P = 96
"Cheby-Jac(2)+2crs,(7,5,3,1)", --, 17.201, 17.0095, 17.0565
"Cheby-Jac(2),(7,5,3,1)", 18.949142857142856, 17.238, 17.0255, 17.1195
"Cheby-ASM(2),(7,3,1)", --, 6.3635, 6.64, 6.443
"Cheby-RAS(2),(7,3,1)", --, 8.62, 8.6165, 8.6095
"Cheby-ASM(1),(7,3,1)", 9.0185, 8.523, 8.859, 8.5865
"Cheby-RAS(1),(7,3,1)", 13.109, 11.4975, 11.5045, 11.4775
"Cheby-ASM(3),(7,3,1)", 5.6835, 5.223, 5.5715, 5.392
"Cheby-RAS(3),(7,3,1)", 7.113, 7.131, 7.1265, 7.15
"Cheby-ASM(2),(7,5,3,1)", --, 4.513, 4.792, 4.687
"Cheby-RAS(2),(7,5,3,1)", --, 6.2495, 6.239, 6.254
"SEMFEM", --, 7.813, 7.7275, 7.6395
"Cheby-ASM(2),(7,6)+SEMFEM", --, 4.748, --, 4.8855
"Cheby-ASM(2),(7,5)+SEMFEM", --, 5.0035, --, 4.8625
"Cheby-ASM(2),(7,3)+SEMFEM", --, 6.4565, 6.8, 6.623
