Method , P = 24, P = 48, P = 72, P = 96
"Cheby-Jac(2)+2crs,(7,5,3,1)", --, 39476151.158401154, 28518669.710951496, 23250382.110802826
"Cheby-Jac(2),(7,5,3,1)", 60628448.76404494, 52414150.25061196, 44991114.55969519, 36487973.01749335
"Cheby-ASM(2),(7,3,1)", --, 94815380.7388102, 76997207.175043, 59602587.774643704
"Cheby-RAS(2),(7,3,1)", --, 73231111.67206815, 60148598.11646458, 46008373.18615925
"Cheby-ASM(1),(7,3,1)", 113563231.06199798, 93055899.432138, 66965108.70301742, 55541954.05564312
"Cheby-RAS(1),(7,3,1)", 89131795.47661996, 72581339.47350155, 64317452.10995134, 55341801.88451673
"Cheby-ASM(3),(7,3,1)", 119827796.22444412, 88412390.01563129, 65766448.88873288, 56011723.37250467
"Cheby-RAS(3),(7,3,1)", 113159128.57144654, 77401912.92433165, 71949673.26222546, 54422827.739289984
"Cheby-ASM(2),(7,5,3,1)", --, 88703128.45216677, 78567215.56663898, 66765008.21086328
"Cheby-RAS(2),(7,5,3,1)", --, 96338930.56010832, 73842507.3816069, 61395883.51110602
"SEMFEM", --, 98611164.83988824, 58831933.05896983, 73152958.58373217
"Cheby-ASM(2),(7,6)+SEMFEM", --, 69325050.45272553, --, 37736787.621729955
"Cheby-ASM(2),(7,5)+SEMFEM", --, 71516886.73363572, --, 43377443.99126395
"Cheby-ASM(2),(7,3)+SEMFEM", --, 61185692.300574765, 35885090.315053254, 37016447.28176759
