Method , P = 24, P = 48, P = 72, P = 96
"Cheby-Jac(2)+2crs,(7,5,3,1)", --, 0.569535, 0.525575, 0.4834985
"Cheby-Jac(2),(7,5,3,1)", 0.7416666666666667, 0.42895, 0.333148, 0.3080885
"Cheby-ASM(2),(7,3,1)", --, 0.23712450000000002, 0.19466550000000002, 0.188608
"Cheby-RAS(2),(7,3,1)", --, 0.307015, 0.2491945, 0.2443365
"Cheby-ASM(1),(7,3,1)", 0.3959565, 0.24160800000000002, 0.22382849999999999, 0.202397
"Cheby-RAS(1),(7,3,1)", 0.50449, 0.3097635, 0.23304249999999999, 0.203129
"Cheby-ASM(3),(7,3,1)", 0.375256, 0.2542975, 0.227908, 0.2006995
"Cheby-RAS(3),(7,3,1)", 0.3973705, 0.2904715, 0.208322, 0.206559
"Cheby-ASM(2),(7,5,3,1)", --, 0.253464, 0.1907755, 0.1683745
"Cheby-RAS(2),(7,5,3,1)", --, 0.2333745, 0.202982, 0.18309899999999998
"SEMFEM", --, 0.227997, --, 0.15367150000000002
"Cheby-ASM(2),(7,6)+SEMFEM", --, --, --, --
"Cheby-ASM(2),(7,5)+SEMFEM", --, --, --, --
"Cheby-ASM(2),(7,3)+SEMFEM", --, --, --, --
